iter	Precision:class=0_SumError	Precision:class=0_SumWeight	Precision:class=1_SumError	Precision:class=1_SumWeight	Precision:class=2_SumError	Precision:class=2_SumWeight	Precision:class=3_SumError	Precision:class=3_SumWeight	Precision:class=4_SumError	Precision:class=4_SumWeight	Precision:class=5_SumError	Precision:class=5_SumWeight	Recall:class=0_SumError	Recall:class=0_SumWeight	Recall:class=1_SumError	Recall:class=1_SumWeight	Recall:class=2_SumError	Recall:class=2_SumWeight	Recall:class=3_SumError	Recall:class=3_SumWeight	Recall:class=4_SumError	Recall:class=4_SumWeight	Recall:class=5_SumError	Recall:class=5_SumWeight	F1:class=0_TP	F1:class=0_TP+FP	F1:class=0_TP+FN	F1:class=1_TP	F1:class=1_TP+FP	F1:class=1_TP+FN	F1:class=2_TP	F1:class=2_TP+FP	F1:class=2_TP+FN	F1:class=3_TP	F1:class=3_TP+FP	F1:class=3_TP+FN	F1:class=4_TP	F1:class=4_TP+FP	F1:class=4_TP+FN	F1:class=5_TP	F1:class=5_TP+FP	F1:class=5_TP+FN	TotalF1_Class=0,TP+FN	TotalF1_Class=0,TP+FP	TotalF1_Class=0,TP	TotalF1_Class=1,TP+FN	TotalF1_Class=1,TP+FP	TotalF1_Class=1,TP	TotalF1_Class=2,TP+FN	TotalF1_Class=2,TP+FP	TotalF1_Class=2,TP	TotalF1_Class=3,TP+FN	TotalF1_Class=3,TP+FP	TotalF1_Class=3,TP	TotalF1_Class=4,TP+FN	TotalF1_Class=4,TP+FP	TotalF1_Class=4,TP	TotalF1_Class=5,TP+FN	TotalF1_Class=5,TP+FP	TotalF1_Class=5,TP	Accuracy_SumError	Accuracy_SumWeight
0	71	258	31	191	0	0	0	0	76	172	86	200	71	163	31	104	0	134	0	138	76	154	86	128	71	258	163	31	191	104	0	0	134	0	0	138	76	172	154	86	200	128	163	258	71	104	191	31	134	0	0	138	0	0	154	172	76	128	200	86	264	821
33	125	189	35	95	32	100	57	116	102	179	86	142	125	163	35	104	32	134	57	138	102	154	86	128	125	189	163	35	95	104	32	100	134	57	116	138	102	179	154	86	142	128	163	189	125	104	95	35	134	100	32	138	116	57	154	179	102	128	142	86	437	821
